Protocol,Payload,BlockSize,TimeTaken,PacketsSent,PacketsReceived,BytesSent,BytesReceived,LossRate
tcp,500 MB,512,10.4824,1024000,1024000,524288000,524288000,0.00
tcp,500 MB,1024,5.0572,512000,512000,524288000,524288000,0.00
tcp,500 MB,16384,0.6705,32000,32000,524288000,524288000,0.00
tcp,500 MB,60000,0.2905,8739,8739,524288000,524288000,0.00
udp,500 MB,512,9.8073,1024000,1021243,524288000,522876416,0.27
udp,500 MB,1024,4.9123,512000,509365,524288000,521589760,0.51
udp,500 MB,16384,0.3790,32000,28771,524288000,471384064,10.09
udp,500 MB,60000,0.1666,8739,7062,524288000,423668000,19.19
udp-stop-and-wait,500 MB,512,53.7394,1024000,1024000,524288000,524288000,0.00
udp-stop-and-wait,500 MB,1024,26.9609,512000,512000,524288000,524288000,0.00
udp-stop-and-wait,500 MB,16384,1.7910,32000,32000,524288000,524288000,0.00
udp-stop-and-wait,500 MB,60000,0.5494,8739,8739,524288000,524288000,0.00
quic,500 MB,512,6.7652,1024000,973617,524288000,498491904,4.92
quic,500 MB,1024,5.9717,512000,447697,524288000,458441728,12.56
quic-stop-and-wait,500 MB,512,74.0261,1024000,1024000,524288000,524288000,0.00
quic-stop-and-wait,500 MB,1024,37.0389,512000,512000,524288000,524288000,0.00
tcp,1 GB,512,19.6306,2097152,2097152,1073741824,1073741824,0.00
tcp,1 GB,1024,9.6824,1048576,1048576,1073741824,1073741824,0.00
tcp,1 GB,16384,1.2510,65536,65536,1073741824,1073741824,0.00
tcp,1 GB,60000,0.5400,17896,17896,1073741824,1073741824,0.00
udp,1 GB,512,20.0796,2097152,2094517,1073741824,1072392704,0.13
udp,1 GB,1024,10.1761,1048576,1046042,1073741824,1071147008,0.24
udp,1 GB,16384,0.7629,65536,62467,1073741824,1023459328,4.68
udp,1 GB,60000,0.3009,17896,15836,1073741824,950141824,11.51
udp-stop-and-wait,1 GB,512,110.0781,2097152,2097152,1073741824,1073741824,0.00
udp-stop-and-wait,1 GB,1024,55.2263,1048576,1048576,1073741824,1073741824,0.00
udp-stop-and-wait,1 GB,16384,3.6949,65536,65536,1073741824,1073741824,0.00
udp-stop-and-wait,1 GB,60000,1.0859,17896,17896,1073741824,1073741824,0.00
quic,1 GB,512,14.6380,2097152,2041553,1073741824,1045275136,2.65
quic,1 GB,1024,13.4797,1048576,989332,1073741824,1013075968,5.65
quic-stop-and-wait,1 GB,512,151.8875,2097152,2097152,1073741824,1073741824,0.00
quic-stop-and-wait,1 GB,1024,75.7086,1048576,1048576,1073741824,1073741824,0.00
